Right ascension,Declination,g_band_magnitude,r_band_magnitude,i_band_magnitude,redshift,Arc Radius $R_A$ (arcsec),Field,Seeing,Exposition,gMi,gMr,rMi
30.3412083,-9.2541917,22.06,20.58,19.9,0.46,2.2,W1,0.596,97.0,2.16,1.4800000000000004,0.6799999999999997
30.54375,-11.1532444,19.79,18.48,17.8,0.48,5.0,W1,0.789,41.0,1.9899999999999984,1.3099999999999987,0.6799999999999997
30.6619583,-6.5822556,20.89,19.91,19.54,0.37,2.2,W1,0.572,80.0,1.3500000000000014,0.9800000000000004,0.370000000000001
30.7618333,-8.3539583,21.96,20.57,19.99,0.14,2.4,W1,0.667,80.0,1.9700000000000024,1.3900000000000006,0.5800000000000018
30.8025417,-10.7855417,22.02,20.55,19.52,0.62,3.0,W1,0.789,41.0,2.5,1.4699999999999989,1.0300000000000011
30.835125,-7.5807722,21.69,20.36,19.45,0.59,5.0,W1,0.667,80.0,2.240000000000002,1.3300000000000018,0.9100000000000001
30.95825,-9.7148639,17.84,16.73,16.18,0.25,5.0,W1,0.607,80.0,1.6600000000000001,1.1099999999999994,0.5500000000000007
31.227125,-10.4006889,19.52,18.18,17.68,0.33,10.8,W1,0.662,80.0,1.8399999999999999,1.3399999999999999,0.5
31.263125,-11.0962861,21.54,20.17,19.16,0.62,3.3,W1,,,2.379999999999999,1.3699999999999974,1.0100000000000016
31.7019583,-6.9503694,20.95,19.6,18.9,0.49,3.2,W1,0.691,80.0,2.0500000000000007,1.3499999999999979,0.7000000000000028
32.06525,-7.4160583,21.98,20.55,19.49,0.62,4.3,W1,0.481,80.0,2.490000000000002,1.4299999999999997,1.0600000000000023
32.0702917,-9.6146361,22.16,20.85,19.6,0.74,3.4,W1,0.628,80.0,2.5599999999999987,1.3099999999999987,1.25
32.173375,-7.0244639,19.85,18.7,18.2,0.29,3.5,W1,0.481,80.0,1.6500000000000021,1.1500000000000021,0.5
32.3722083,-6.7197944,20.47,19.15,18.57,0.45,3.2,W1,0.481,80.0,1.8999999999999986,1.3200000000000003,0.5799999999999983
32.4902917,-3.9158556,21.41,19.98,19.27,0.43,3.9,W1,0.693,80.0,2.1400000000000006,1.4299999999999997,0.7100000000000009
32.6107083,-4.7782194,21.77,20.79,20.24,0.55,1.9,W1,0.745,80.0,1.5300000000000011,0.9800000000000004,0.5500000000000007
32.7149583,-3.8812889,21.79,20.84,19.91,0.73,1.9,W1,0.693,80.0,1.879999999999999,0.9499999999999993,0.9299999999999997
32.7860833,-10.20385,19.81,18.44,17.89,0.38,2.0,W1,0.628,80.0,1.9199999999999982,1.3699999999999974,0.5500000000000007
32.8270417,-4.4581111,23.13,22.48,21.43,1.19,3.5,W1,0.693,80.0,1.6999999999999993,0.6499999999999986,1.0500000000000007
33.0855,-9.6455833,23.48,22.18,20.88,0.77,2.4,W1,0.714,80.0,2.6000000000000014,1.3000000000000007,1.3000000000000007
33.3521667,-7.7318944,24.11,23.73,23.18,0.8,2.8,W1,0.534,80.0,0.9299999999999997,0.379999999999999,0.5500000000000007
33.533625,-5.5923306,20.98,19.42,18.69,0.48,7.1,W1,0.545,80.0,2.289999999999999,1.5599999999999987,0.7300000000000004
33.5468333,-4.0840861,22.11,20.92,19.88,0.74,1.9,W1,0.72,63.0,2.2300000000000004,1.1899999999999977,1.0400000000000027
33.8459583,-7.6065444,23.64,22.08,20.89,1.05,3.7,W1,0.534,80.0,2.75,1.5600000000000023,1.1899999999999977
33.9681667,-7.3503667,21.5,20.06,19.29,0.48,2.8,W1,0.561,80.0,2.210000000000001,1.4400000000000013,0.7699999999999996
34.0194167,-9.5851806,21.68,20.26,19.09,0.69,16.4,W1,0.677,80.0,2.59,1.4199999999999982,1.1700000000000017
34.100125,-9.9608583,17.29,16.35,15.9,0.18,2.8,W1,0.677,80.0,1.3899999999999988,0.9399999999999977,0.45000000000000107
34.1299583,-7.5325361,21.9,20.89,19.8,0.86,2.4,W1,0.507,80.0,2.099999999999998,1.009999999999998,1.0899999999999999
34.1951667,-9.30465,21.73,20.53,19.48,0.72,2.4,W1,0.624,80.0,2.25,1.1999999999999993,1.0500000000000007
34.2052083,-7.0566111,21.04,19.54,18.85,0.45,5.6,W1,0.635,97.0,2.1899999999999977,1.5,0.6899999999999977
34.349,-10.2639722,18.68,17.53,17.03,0.27,3.2,W1,0.677,80.0,1.6499999999999986,1.1499999999999986,0.5
34.4148333,-10.5555361,22.94,22.05,21.04,1.05,1.9,W1,,,1.9000000000000021,0.8900000000000006,1.0100000000000016
34.530375,-5.2600444,22.54,21.21,20.18,0.42,2.4,W1,0.565,80.0,2.3599999999999994,1.3299999999999983,1.0300000000000011
34.5599583,-10.1006389,21.2,20.57,20.27,0.46,2.8,W1,0.677,80.0,0.9299999999999997,0.629999999999999,0.3000000000000007
34.7910833,-4.0287,21.43,19.95,19.27,0.45,4.3,W1,0.742,80.0,2.16,1.4800000000000004,0.6799999999999997
34.9850833,-5.4664472,20.48,19.38,18.84,0.35,3.0,W1,0.565,80.0,1.6400000000000006,1.1000000000000014,0.5399999999999991
35.179625,-10.8712361,22.81,21.68,20.48,0.79,2.2,W1,,,2.3299999999999983,1.129999999999999,1.1999999999999993
35.235125,-7.7199194,22.91,21.56,20.51,0.71,2.4,W1,,,2.3999999999999986,1.3500000000000014,1.0499999999999972
35.46325,-6.7924056,21.34,20.18,19.16,0.72,5.2,W1,0.512,80.0,2.1799999999999997,1.1600000000000001,1.0199999999999996
35.8142083,-6.4851111,21.2,20.02,19.21,0.55,1.9,W1,,,1.9899999999999984,1.1799999999999997,0.8099999999999987
35.826375,-10.9801278,21.57,20.29,19.53,0.52,6.1,W1,,,2.039999999999999,1.2800000000000011,0.759999999999998
36.0038333,-3.7738417,23.12,22.04,20.92,0.98,2.6,W1,0.702,81.0,2.1999999999999993,1.0800000000000018,1.1199999999999974
36.020875,-4.7852778,20.0,18.68,18.1,0.36,4.3,D1,,,1.8999999999999986,1.3200000000000003,0.5799999999999983
36.1456667,-4.1930611,24.01,23.03,22.06,0.68,1.9,D1,0.702,81.0,1.9500000000000028,0.9800000000000004,0.9700000000000024
36.1469167,-4.0327389,22.49,21.21,20.13,1.13,3.5,D1,0.702,81.0,2.3599999999999994,1.2799999999999976,1.0800000000000018
36.16275,-4.0125444,20.75,19.33,18.62,0.43,3.2,D1,0.702,81.0,2.129999999999999,1.4200000000000017,0.7099999999999973
36.246875,-4.0177139,24.05,22.83,21.7,0.8,1.9,D1,0.702,81.0,2.3500000000000014,1.2200000000000024,1.129999999999999
36.296,-4.9093167,18.72,17.57,17.03,0.33,2.8,D1,,,1.6899999999999977,1.1499999999999986,0.5399999999999991
36.4114167,-4.0556556,22.09,20.64,19.52,0.62,4.3,D1,0.702,81.0,2.5700000000000003,1.4499999999999993,1.120000000000001
36.4422083,-7.6273667,20.99,19.5,18.6,0.54,5.8,W1,0.636,63.0,2.389999999999997,1.4899999999999984,0.8999999999999986
36.5297917,-4.4572944,19.36,18.44,17.97,0.17,3.7,D1,0.702,81.0,1.3900000000000006,0.9199999999999982,0.4700000000000024
36.83425,-7.822275,21.31,19.81,19.0,0.53,2.1,W1,0.636,63.0,2.3099999999999987,1.5,0.8099999999999987
